segment,day_start_approx,return_start_percent_approx,day_end_approx,return_end_percent_approx,marker_bridge
465,-11.803279,-0.9375,-11.693989,-0.964286,False
466,-11.803279,-1.1875,-11.693989,-1.223214,False
467,-11.693989,0.386691,-11.584699,0.377698,False
468,-11.693989,0.242806,-11.584699,0.242806,False
469,-11.693989,0.044964,-11.584699,0.044964,False
470,-11.693989,-0.0625,-11.584699,-0.0625,False
471,-11.693989,-0.258929,-11.584699,-0.267857,False
472,-11.693989,-0.5625,-11.584699,-0.5625,False
473,-11.693989,-0.964286,-11.584699,-0.982143,False
474,-11.693989,-1.223214,-11.584699,-1.25,False
475,-11.584699,0.377698,-11.47541,0.368705,False
476,-11.584699,0.242806,-11.47541,0.251799,False
477,-11.584699,0.044964,-11.47541,0.035971,False
478,-11.584699,-0.0625,-11.47541,-0.0625,False
479,-11.584699,-0.267857,-11.47541,-0.267857,False
480,-11.584699,-0.5625,-11.47541,-0.571429,False
481,-11.584699,-0.982143,-11.47541,-1.0,False
482,-11.584699,-1.25,-11.47541,-1.285714,False
483,-11.47541,0.368705,-11.36612,0.368705,False
484,-11.47541,0.251799,-11.36612,0.260791,False
485,-11.47541,0.035971,-11.36612,0.035971,False
486,-11.47541,-0.0625,-11.36612,-0.0625,False
487,-11.47541,-0.267857,-11.36612,-0.267857,False
488,-11.47541,-0.571429,-11.36612,-0.580357,False
489,-11.47541,-1.0,-11.36612,-1.0,False
490,-11.47541,-1.285714,-11.36612,-1.303571,False
491,-11.36612,0.368705,-11.256831,0.359712,False
492,-11.36612,0.260791,-11.256831,0.260791,False
493,-11.36612,0.035971,-11.256831,0.035971,False
494,-11.36612,-0.0625,-11.256831,-0.0625,False
495,-11.36612,-0.267857,-11.256831,-0.267857,False
496,-11.36612,-0.580357,-11.256831,-0.580357,False
497,-11.36612,-1.0,-11.256831,-1.008929,False
498,-11.36612,-1.303571,-11.256831,-1.330357,False
499,-11.256831,0.359712,-11.147541,0.296763,False
500,-11.256831,0.260791,-11.147541,0.296763,False
501,-11.256831,0.035971,-11.147541,0.035971,False
502,-11.256831,-0.0625,-11.147541,-0.053571,False
503,-11.256831,-0.267857,-11.147541,-0.267857,False
504,-11.256831,-0.580357,-11.147541,-0.598214,False
505,-11.256831,-1.008929,-11.147541,-1.026786,False
506,-11.256831,-1.330357,-11.147541,-1.357143,False
